Generated by pymatgen.io.lammps.data.LammpsData

5250  atoms

   4  atom types

0.000000 39.407352  xlo xhi
0.000000 39.308664  ylo yhi
0.000000 52.924087  zlo zhi
-19.196134 1.815964 -15.916758  xy xz yz

Masses

1   6.941000
2  54.938045
3  78.960000
4  15.999400

Atoms

402   4 -0.3206  19.917869  14.361419  0.860716
403   4 -0.3206  21.387112  13.519415  3.123241
404   4 -0.3206  17.454343  11.984762  4.967329
405   4 -0.3206  20.175979  14.380910  7.829610
406   2  1.3600  20.145258  17.666977  5.438749
407   3 -0.3206  27.031140  12.877739  9.913846
408   1  0.5250  30.483281  11.373889  3.823391
409   2  1.3600  27.813006  11.743119  3.966734
410   4 -0.3206  23.800610  11.524790  0.568978
411   1  0.5250  29.044081  12.488795  1.561220
412   4 -0.3206  30.690786  12.989606  6.065499
413   4 -0.3206  24.032223  12.974155  2.966723
414   2  1.3600  24.301072  14.658832  5.199381
415   2  1.3600  26.261853  12.553914  1.591181
416   3 -0.3206  27.821128  16.674538  3.763577
417   3 -0.3206  30.598559  14.782485  1.538334
418   3 -0.3206  26.521262  17.597022  1.449582
419   3 -0.3206  25.654328  13.697981  7.545280
420   3 -0.3206  27.865430  13.280186  6.010783
421   4 -0.3206  30.679401  16.415310  3.747974
422   4 -0.3206  26.618054  15.722649  6.054191
423   4 -0.3206  29.153792  17.472984  1.586889
424   4 -0.3206  24.964404  15.205436  1.581379
425   4 -0.3206  29.400099  15.720051  6.038531
426   4 -0.3206  26.511468  14.306576  3.734907
427   4 -0.3206  25.170208  16.961392  3.798301
428   4 -0.3206  24.457114  16.346927  7.523757
429   4 -0.3206  23.768645  17.987829  1.651195
430   4 -0.3206  27.733443  15.045078  1.472375
431   4 -0.3206  29.212971  14.023294  3.787942
432   4 -0.3206  25.396824  12.216299  5.277854
433   4 -0.3206  30.903427  14.526578  8.316458
434   3 -0.3206  29.373310  12.223530  8.293295
435   4 -0.3206  28.026140  14.919331  8.282622
436   4 -0.3206  32.133194  11.916432  8.321459
437   4 -0.3206  31.775568  12.285145  1.512842
438   2  1.3600  31.985290  13.729166  3.725820
439   4 -0.3206  -1.774390   1.382209 15.162092
440   3 -0.3206  -1.794313   2.741176 17.463861
441   4 -0.3206   6.030738  -4.508693 15.079711
442   4 -0.3206   3.329048  -4.193854 15.203899
443   4 -0.3206   1.852965  -3.206392 13.072797
444   2  1.3600   4.850428  -1.811971 15.085781
445   2  1.3600  -0.569138   2.211542 12.800104
446   1  0.5250   3.268003  -0.824940 12.907332
447   1  0.5250   1.905213   0.258809 10.628136
448   2  1.3600   0.666775  -3.857470 15.315161
449   2  1.3600   0.878631   1.121722 15.365795
450   3 -0.3206   4.542664  -3.419885 12.906703
451   3 -0.3206   5.820812  -2.727604 10.561038
452   3 -0.3206   3.192550  -2.537459 10.620821
453   4 -0.3206   6.121035  -1.097424 12.695794
454   4 -0.3206   4.885652   1.549343 12.836414
455   4 -0.3206   3.629108   0.697756 15.050888
456   4 -0.3206   4.564952  -0.008881 10.460505
457   4 -0.3206   2.023160  -1.594177 15.295070
458   4 -0.3206   0.657841  -0.436663 13.093930
459   4 -0.3206   2.116638   1.907802 12.967411
460   4 -0.3206   6.118321   2.366678 10.437259
461   4 -0.3206   6.388872   0.564131 15.001990
462   2  1.3600   0.533585  -2.045729 10.815754
463   4 -0.3206   3.458448   2.650072 10.713237
464   4 -0.3206  -0.521292  -1.327852 15.377658
465   4 -0.3206  -0.677300   0.557907 10.626523
466   4 -0.3206   0.913932   2.922682 10.537538
467   2  1.3600   6.145584  -2.918638 17.409666
468   3 -0.3206   1.929002  -5.130199 17.495772
469   4 -0.3206   3.480855  -2.566807 17.511679
470   3 -0.3206   6.345605   2.168599 17.432330
471   4 -0.3206   5.038400  -0.200554 17.391963
472   4 -0.3206   3.722123   2.403460 17.275892
473   1  0.5250   2.273651   0.025019 17.455379
474   3 -0.3206   1.008289   2.862584 17.395598
475   4 -0.3206  20.405060  15.923691 10.180987
476   4 -0.3206  -0.465009   0.278548 17.579038
477   1  0.5250  11.161859   1.583387  8.809461
478   4 -0.3206  12.229912  -0.959003  8.535618
479   4 -0.3206   9.562229  -0.669894  9.093978
480   2  1.3600  12.629792  -1.139784 15.594257
481   2  1.3600   7.605565   1.349527 12.601472
482   4 -0.3206   7.227129  -0.207853 10.372690
483   1  0.5250  11.180998  -0.268072 13.375960
484   1  0.5250   9.808314   0.835719 11.267409
485   2  1.3600   9.002851   0.232875 14.856379
486   3 -0.3206  12.594679  -2.832295 13.466981
487   3 -0.3206  13.689496  -2.055948 10.949515
488   3 -0.3206  11.123932  -1.820043 11.037791
489   4 -0.3206   7.579702  -2.054780 15.030390
490   4 -0.3206  14.927924  -0.911921  9.033786
491   4 -0.3206  13.918591  -0.447525 13.395610
492   4 -0.3206  12.656398   2.123671 13.528451
493   4 -0.3206  11.290628   1.394452 15.900590
494   4 -0.3206   8.451967   2.045170  8.916756
495   4 -0.3206  12.521952   0.577580 11.167692
496   4 -0.3206  10.215847  -2.369502 14.890488
497   4 -0.3206   8.808633  -1.385820 12.647905
498   4 -0.3206   9.983723   2.338313 13.603884
499   4 -0.3206  13.843138   1.797643  9.013168
500   4 -0.3206  14.001963   1.053315 15.738289
501   3 -0.3206  31.019013  12.913367 12.936559
502   2  1.3600   8.601746  -2.885638 10.371692
503   4 -0.3206   7.830654   2.904339 14.965215
504   4 -0.3206  13.858277  -3.911208 15.703531
505   4 -0.3206   8.902770  -3.222579 17.173897
506   4 -0.3206   7.645737  -0.678984 17.261854
507   1  0.5250  10.336152  -0.808719 17.153352
508   3 -0.3206   8.896196   1.785135 17.204816
509   4 -0.3206  11.722711  -3.304349 17.025701
510   2  1.3600  15.279330   0.520201 11.184069
511   4 -0.3206  15.395272   1.883685 13.594695
512   3 -0.3206  15.221576  -2.980310 13.401921
513   4 -0.3206  15.248818  -1.433964 15.630627
514   1  0.5250  19.193648   1.504676  9.112504
515   4 -0.3206  20.427746  -1.201274  9.019569
516   2  1.3600  16.578531  -3.956941 15.607749
517   4 -0.3206  17.748272  -0.934370  9.025967
518   2  1.3600  20.737756  -1.686129 15.829376
519   3 -0.3206  23.519210  -3.505451 13.546925
520   1  0.5250  19.542607  -0.776381 13.492709
521   1  0.5250  17.995091  -1.584589 15.720280
522   1  0.5250  18.034384   0.395992 11.341577
523   2  1.3600  16.607695  -0.563054 13.572941
524   2  1.3600  23.281444   1.071984 12.190209
525   3 -0.3206  20.623410  -3.282303 13.662735
526   3 -0.3206  21.881016  -2.545240 11.482765
527   3 -0.3206  19.239750  -2.273529 11.267058
528   3 -0.3206  16.866004   1.070455 16.005124
529   4 -0.3206  22.925908  -0.548003  9.790388
530   4 -0.3206  22.241937  -0.893061 13.536066
531   4 -0.3206  20.926688   1.759296 13.499635
532   4 -0.3206  19.493916   0.842843 15.777938
533   4 -0.3206  16.536566   1.545242  8.976312
534   4 -0.3206  20.688224   0.321553 11.204245
535   4 -0.3206  18.000523  -3.140829 13.364838
536   4 -0.3206  16.518496  -2.119721 11.241819
537   4 -0.3206  18.170627   1.708857 13.578741
538   4 -0.3206  21.717750   2.187964  9.770369
539   4 -0.3206  22.288313   0.550365 15.900407
540   4 -0.3206  19.377131   2.806582 11.286611
541   4 -0.3206  23.232847   2.643296 14.549537
