Generated by pymatgen.io.lammps.data.LammpsData

5250  atoms

   4  atom types

0.000000 38.499960  xlo xhi
0.000000 38.403545  ylo yhi
0.000000 51.705460  zlo zhi
-18.754125 1.774150 -15.550260  xy xz yz

Masses

1   6.941000
2  54.938045
3  78.960000
4  15.999400

Atoms

206   1  0.5250  22.444695  10.574435  4.299133
207   1  0.5250  22.799525   7.464383 14.640225
208   1  0.5250  23.154355   4.354331 24.981317
209   1  0.5250  23.509185   1.244279 35.322409
210   1  0.5250  23.864015  -1.865773 45.663501
211   1  0.5250  18.693870  18.255144  4.299133
212   1  0.5250  19.048700  15.145092 14.640225
213   1  0.5250  19.403530  12.035040 24.981317
214   1  0.5250  19.758360   8.924988 35.322409
215   1  0.5250  20.113190   5.814936 45.663501
216   1  0.5250  14.943045  25.935853  4.299133
217   1  0.5250  15.297875  22.825801 14.640225
218   1  0.5250  15.652705  19.715749 24.981317
219   1  0.5250  16.007535  16.605697 35.322409
220   1  0.5250  16.362365  13.495645 45.663501
221   1  0.5250  11.192220  33.616562  4.299133
222   1  0.5250  11.547050  30.506510 14.640225
223   1  0.5250  11.901880  27.396458 24.981317
224   1  0.5250  12.256710  24.286406 35.322409
225   1  0.5250  12.611540  21.176354 45.663501
226   1  0.5250  33.895512   2.893726  4.299133
227   1  0.5250  34.250342  -0.216326 14.640225
228   1  0.5250  34.605172  -3.326378 24.981317
229   1  0.5250  34.960002  -6.436430 35.322409
230   1  0.5250  35.314832  -9.546482 45.663501
231   1  0.5250  30.144687  10.574435  4.299133
232   1  0.5250  30.499517   7.464383 14.640225
233   1  0.5250  30.854347   4.354331 24.981317
234   1  0.5250  31.209177   1.244279 35.322409
235   1  0.5250  31.564007  -1.865773 45.663501
236   1  0.5250  26.393862  18.255144  4.299133
237   1  0.5250  26.748692  15.145092 14.640225
238   1  0.5250  27.103522  12.035040 24.981317
239   1  0.5250  27.458352   8.924988 35.322409
240   1  0.5250  27.813182   5.814936 45.663501
241   1  0.5250  22.643037  25.935853  4.299133
242   1  0.5250  22.997867  22.825801 14.640225
243   1  0.5250  23.352697  19.715749 24.981317
244   1  0.5250  23.707527  16.605697 35.322409
245   1  0.5250  24.062357  13.495645 45.663501
246   1  0.5250  18.892212  33.616562  4.299133
247   1  0.5250  19.247042  30.506510 14.640225
248   1  0.5250  19.601872  27.396458 24.981317
249   1  0.5250  19.956702  24.286406 35.322409
