Generated by pymatgen.io.lammps.data.LammpsData

3240  atoms

   4  atom types

0.000000 33.680420  xlo xhi
0.000000 35.099460  ylo yhi
0.000000 46.796311  zlo zhi
-9.212003 -8.987163 -18.925571  xy xz yz

Masses

1    6.94100
2  238.02891
3   95.94000
4   15.99940

Atoms

237   1  0.5250   9.981754  15.037541  3.729119
238   4 -0.5442  14.070519  12.510654  7.507777
239   1  0.5250  15.597659  15.718547  3.014584
240   2 -0.0000  11.149680  11.928859  7.498497
241   4 -0.5442  10.873401  16.867064  1.413101
242   4 -0.5442  20.204849   9.892679  6.999433
243   4 -0.5442  17.101707  10.239907  3.121668
244   4 -0.5442  21.803882   9.122062  0.456405
245   1  0.5250  21.252942  15.782162  2.940847
246   1  0.5250  24.183439  15.750986  3.211470
247   4 -0.5442  17.411414  14.583092  1.165269
248   4 -0.5442  17.623633  10.172223  6.909274
249   4 -0.5442  23.587546  14.103752  5.347681
250   4 -0.5442  17.776742  14.356208  4.948279
251   2 -0.0000  24.026396  11.868628  0.487878
252   1  0.5250  20.155044  10.449831  2.816022
253   3  2.1960  23.026009  14.629116  0.978451
254   3  2.1960  18.457590  11.798941  4.785614
255   4 -0.5442  22.982700  10.103462  2.780927
256   4 -0.5442  20.309938  14.487109  0.642957
257   4 -0.5442  18.294984  11.946551  0.755240
258   4 -0.5442  25.071515  12.655708  3.219849
259   4 -0.5442  19.521642  13.251184  2.877279
260   4 -0.5442  24.158456  11.141832  5.181913
261   4 -0.5442  20.736230  14.327785  5.164845
262   4 -0.5442  21.306111  11.442792  5.128417
263   4 -0.5442  22.328466  12.909909  3.040405
264   4 -0.5442  21.380932  11.810982  0.819855
265   4 -0.5442  19.872812  12.456752  7.240069
266   3  2.1960  22.789777  12.401766  7.408835
267   4 -0.5442  25.602795  12.726583  7.151646
268   4 -0.5442  18.574262  16.064631  3.141676
269   4 -0.5442  27.252843  16.178182  3.127490
270   4 -0.5442  26.052872  14.770701  1.383024
271   1  0.5250  25.688260   9.873828  2.874094
272   4 -0.5442  26.382859  14.170387  4.868218
273   2 -0.0000  29.759833  12.373020  0.897089
274   4 -0.5442  28.122553  12.989448  2.886197
275   4 -0.5442  27.155568  11.408731  4.875825
276   3  2.1960  29.027424  15.243272  0.951555
277   4 -0.5442  28.727323  10.198427  2.843531
278   4 -0.5442  26.832731  11.811406  1.008693
279   3  2.1960  -2.360315  -3.787632 12.954190
280   4 -0.5442  -0.644040  -1.032781 13.750358
281   4 -0.5442  -0.553472  -0.280916  8.871680
282   4 -0.5442  -1.089242  -1.997454 11.108161
283   4 -0.5442  -2.165386   0.777359 11.094410
284   4 -0.5442  -3.147375  -1.076557 13.019290
285   4 -0.5442   0.184093  -5.388651 15.469140
286   3  2.1960  -4.130555   1.743314 13.369494
287   2 -0.0000  -3.134355  -5.195667 15.262433
288   4 -0.5442  -1.472601   1.554008 13.568853
289   4 -0.5442   1.350671   8.748940 15.375456
290   1  0.5250   0.623898   0.358523 11.342132
291   3  2.1960   0.533672  -3.528893 13.278710
292   1  0.5250   0.718223  -2.950307  8.424055
293   2 -0.0000   2.254251  -1.437091 13.448867
294   1  0.5250   6.312074  -2.985049  8.720337
295   1  0.5250   6.283040   0.299985 11.532729
