Generated by pymatgen.io.lammps.data.LammpsData

3200  atoms

   4  atom types

0.000000 22.461078  xlo xhi
0.000000 53.608416  ylo yhi
0.000000 31.862463  zlo zhi
5.170074 -0.677431 4.256297  xy xz yz

Masses

1   6.9410
2  51.9961
3  28.0855
4  15.9994

Atoms

168   1  0.5250 14.407839 22.669673 24.683404
169   1  0.5250 16.208430 32.879555  0.786557
170   1  0.5250 16.039073 33.943629  8.752172
171   1  0.5250 15.869715 35.007703 16.717788
172   1  0.5250 15.700357 36.071777 24.683404
173   1  0.5250 17.500949 46.281659  0.786557
174   1  0.5250 17.331591 47.345733  8.752172
175   1  0.5250 17.162233 48.409807 16.717788
176   1  0.5250 16.992876 49.473881 24.683404
177   1  0.5250 19.238663  6.075346  0.786557
178   1  0.5250 19.069305  7.139421  8.752172
179   1  0.5250 18.899948  8.203495 16.717788
180   1  0.5250 18.730590  9.267569 24.683404
181   1  0.5250 20.531181 19.477450  0.786557
182   1  0.5250 20.361824 20.541525  8.752172
183   1  0.5250 20.192466 21.605599 16.717788
184   1  0.5250 20.023108 22.669673 24.683404
185   1  0.5250 21.823700 32.879555  0.786557
186   1  0.5250 21.654342 33.943629  8.752172
187   1  0.5250 21.484984 35.007703 16.717788
188   1  0.5250 21.315627 36.071777 24.683404
189   1  0.5250 23.116218 46.281659  0.786557
190   1  0.5250 22.946861 47.345733  8.752172
191   1  0.5250 22.777503 48.409807 16.717788
192   1  0.5250 22.608145 49.473881 24.683404
193   1  0.5250  5.761366 13.307757  4.769301
194   1  0.5250  5.592009 14.371831 12.734917
195   1  0.5250  5.422651 15.435906 20.700532
196   1  0.5250  5.253293 16.499980 28.666148
197   1  0.5250  7.053885 26.709861  4.769301
198   1  0.5250  6.884527 27.773935 12.734917
199   1  0.5250  6.715169 28.838010 20.700532
200   1  0.5250  6.545812 29.902084 28.666148
201   1  0.5250  8.346403 40.111965  4.769301
202   1  0.5250  8.177045 41.176039 12.734917
203   1  0.5250  8.007688 42.240114 20.700532
204   1  0.5250  7.838330 43.304188 28.666148
205   1  0.5250  9.638921 53.514069  4.769301
206   1  0.5250  9.469564 54.578143 12.734917
207   1  0.5250  9.300206 55.642218 20.700532
208   1  0.5250  9.130849 56.706292 28.666148
209   1  0.5250 11.376636 13.307757  4.769301
210   1  0.5250 11.207278 14.371831 12.734917
211   1  0.5250 11.037920 15.435906 20.700532
212   1  0.5250 10.868563 16.499980 28.666148
213   1  0.5250 12.669154 26.709861  4.769301
214   1  0.5250 12.499796 27.773935 12.734917
215   1  0.5250 12.330439 28.838010 20.700532
216   1  0.5250 12.161081 29.902084 28.666148
217   1  0.5250 13.961672 40.111965  4.769301
218   1  0.5250 13.792315 41.176039 12.734917
219   1  0.5250 13.622957 42.240114 20.700532
220   1  0.5250 13.453600 43.304188 28.666148
221   1  0.5250 15.254191 53.514069  4.769301
222   1  0.5250 15.084833 54.578143 12.734917
223   1  0.5250 14.915476 55.642218 20.700532
224   1  0.5250 14.746118 56.706292 28.666148
225   1  0.5250 16.991905 13.307757  4.769301
226   1  0.5250 16.822547 14.371831 12.734917
227   1  0.5250 16.653190 15.435906 20.700532
228   1  0.5250 16.483832 16.499980 28.666148
229   1  0.5250 18.284424 26.709861  4.769301
230   1  0.5250 18.115066 27.773935 12.734917
231   1  0.5250 17.945708 28.838010 20.700532
232   1  0.5250 17.776351 29.902084 28.666148
233   1  0.5250 19.576942 40.111965  4.769301
234   1  0.5250 19.407584 41.176039 12.734917
235   1  0.5250 19.238227 42.240114 20.700532
236   1  0.5250 19.068869 43.304188 28.666148
237   1  0.5250 20.869460 53.514069  4.769301
238   1  0.5250 20.700103 54.578143 12.734917
239   1  0.5250 20.530745 55.642218 20.700532
240   1  0.5250 20.361388 56.706292 28.666148
241   1  0.5250 22.607175 13.307757  4.769301
242   1  0.5250 22.437817 14.371831 12.734917
243   1  0.5250 22.268459 15.435906 20.700532
244   1  0.5250 22.099102 16.499980 28.666148
245   1  0.5250 23.899693 26.709861  4.769301
246   1  0.5250 23.730335 27.773935 12.734917
247   1  0.5250 23.560978 28.838010 20.700532
248   1  0.5250 23.391620 29.902084 28.666148
249   1  0.5250 25.192211 40.111965  4.769301
250   1  0.5250 25.022854 41.176039 12.734917
251   1  0.5250 24.853496 42.240114 20.700532
252   1  0.5250 24.684139 43.304188 28.666148
253   1  0.5250 26.484730 53.514069  4.769301
254   1  0.5250 26.315372 54.578143 12.734917
255   1  0.5250 26.146015 55.642218 20.700532
256   1  0.5250 25.976657 56.706292 28.666148
257   2  1.5750  3.368860  7.232624  3.983342
258   2  1.5750  3.199502  8.296699 11.948957
259   2  1.5750  3.030145  9.360773 19.914573
260   2  1.5750  2.860787 10.424847 27.880189
261   2  1.5750  4.661379 20.634728  3.983342
262   2  1.5750  4.492021 21.698803 11.948957
263   2  1.5750  4.322663 22.762877 19.914573
264   2  1.5750  4.153306 23.826951 27.880189
265   2  1.5750  5.953897 34.036832  3.983342
266   2  1.5750  5.784539 35.100907 11.948957
267   2  1.5750  5.615182 36.164981 19.914573
268   2  1.5750  5.445824 37.229055 27.880189
269   2  1.5750  7.246415 47.438937  3.983342
270   2  1.5750  7.077058 48.503011 11.948957
271   2  1.5750  6.907700 49.567085 19.914573
272   2  1.5750  6.738343 50.631159 27.880189
273   2  1.5750  8.984130  7.232624  3.983342
274   2  1.5750  8.814772  8.296699 11.948957
275   2  1.5750  8.645414  9.360773 19.914573
276   2  1.5750  8.476057 10.424847 27.880189
277   2  1.5750 10.276648 20.634728  3.983342
278   2  1.5750 10.107290 21.698803 11.948957
279   2  1.5750  9.937933 22.762877 19.914573
280   2  1.5750  9.768575 23.826951 27.880189
281   2  1.5750 11.569166 34.036832  3.983342
282   2  1.5750 11.399809 35.100907 11.948957
283   2  1.5750 11.230451 36.164981 19.914573
284   2  1.5750 11.061094 37.229055 27.880189
285   2  1.5750 12.861685 47.438937  3.983342
286   2  1.5750 12.692327 48.503011 11.948957
287   2  1.5750 12.522970 49.567085 19.914573
288   2  1.5750 12.353612 50.631159 27.880189
289   2  1.5750 14.599399  7.232624  3.983342
290   2  1.5750 14.430041  8.296699 11.948957
291   2  1.5750 14.260684  9.360773 19.914573
292   2  1.5750 14.091326 10.424847 27.880189
293   2  1.5750 15.891917 20.634728  3.983342
294   2  1.5750 15.722560 21.698803 11.948957
295   2  1.5750 15.553202 22.762877 19.914573
296   2  1.5750 15.383845 23.826951 27.880189
297   2  1.5750 17.184436 34.036832  3.983342
298   2  1.5750 17.015078 35.100907 11.948957
