Generated by pymatgen.io.lammps.data.LammpsData

3500  atoms

   4  atom types

0.000000 30.147895  xlo xhi
0.000000 26.108910  ylo yhi
0.000000 49.015660  zlo zhi
-15.073913 0.000436 -0.000760  xy xz yz

Masses

1    6.941000
2   54.938045
3  121.760000
4   15.999400

Atoms

369   1 0.0000  18.089051 20.886577 34.175316
370   1 0.0000  18.089138 20.886425 43.978448
371   1 0.0000  15.074007 26.108815  4.765920
372   1 0.0000  15.074094 26.108663 14.569052
373   1 0.0000  15.074181 26.108511 24.372184
374   1 0.0000  15.074268 26.108359 34.175316
375   1 0.0000  15.074356 26.108207 43.978448
376   1 0.0000   3.014827  1.740640  3.969131
377   1 0.0000   3.014914  1.740488 13.772263
378   1 0.0000   3.015002  1.740336 23.575395
379   1 0.0000   3.015089  1.740184 33.378527
380   1 0.0000   3.015176  1.740032 43.181659
381   1 0.0000   0.000045  6.962422  3.969131
382   1 0.0000   0.000132  6.962270 13.772263
383   1 0.0000   0.000219  6.962118 23.575395
384   1 0.0000   0.000306  6.961966 33.378527
385   1 0.0000   0.000394  6.961814 43.181659
386   1 0.0000  -3.014738 12.184204  3.969131
387   1 0.0000  -3.014651 12.184052 13.772263
388   1 0.0000  -3.014563 12.183900 23.575395
389   1 0.0000  -3.014476 12.183748 33.378527
390   1 0.0000  -3.014389 12.183596 43.181659
391   1 0.0000  -6.029520 17.405986  3.969131
392   1 0.0000  -6.029433 17.405834 13.772263
393   1 0.0000  -6.029346 17.405682 23.575395
394   1 0.0000  -6.029259 17.405530 33.378527
395   1 0.0000  -6.029171 17.405378 43.181659
396   1 0.0000  -9.044303 22.627768  3.969131
397   1 0.0000  -9.044216 22.627616 13.772263
398   1 0.0000  -9.044128 22.627464 23.575395
399   1 0.0000  -9.044041 22.627312 33.378527
400   1 0.0000  -9.043954 22.627160 43.181659
401   1 0.0000   9.044406  1.740640  3.969131
402   1 0.0000   9.044493  1.740488 13.772263
403   1 0.0000   9.044581  1.740336 23.575395
404   1 0.0000   9.044668  1.740184 33.378527
405   1 0.0000   9.044755  1.740032 43.181659
406   1 0.0000   6.029624  6.962422  3.969131
407   1 0.0000   6.029711  6.962270 13.772263
408   1 0.0000   6.029798  6.962118 23.575395
409   1 0.0000   6.029885  6.961966 33.378527
410   1 0.0000   6.029973  6.961814 43.181659
411   1 0.0000   3.014841 12.184204  3.969131
412   1 0.0000   3.014928 12.184052 13.772263
413   1 0.0000   3.015016 12.183900 23.575395
414   1 0.0000   3.015103 12.183748 33.378527
415   1 0.0000   3.015190 12.183596 43.181659
416   1 0.0000   0.000059 17.405986  3.969131
417   1 0.0000   0.000146 17.405834 13.772263
418   1 0.0000   0.000233 17.405682 23.575395
419   1 0.0000   0.000320 17.405530 33.378527
420   1 0.0000   0.000408 17.405378 43.181659
421   1 0.0000  -3.014724 22.627768  3.969131
422   1 0.0000  -3.014637 22.627616 13.772263
423   1 0.0000  -3.014549 22.627464 23.575395
424   1 0.0000  -3.014462 22.627312 33.378527
425   1 0.0000  -3.014375 22.627160 43.181659
426   1 0.0000  15.073985  1.740640  3.969131
427   1 0.0000  15.074072  1.740488 13.772263
428   1 0.0000  15.074160  1.740336 23.575395
429   1 0.0000  15.074247  1.740184 33.378527
430   1 0.0000  15.074334  1.740032 43.181659
431   1 0.0000  12.059203  6.962422  3.969131
432   1 0.0000  12.059290  6.962270 13.772263
433   1 0.0000  12.059377  6.962118 23.575395
434   1 0.0000  12.059464  6.961966 33.378527
435   1 0.0000  12.059552  6.961814 43.181659
436   1 0.0000   9.044420 12.184204  3.969131
437   1 0.0000   9.044507 12.184052 13.772263
438   1 0.0000   9.044595 12.183900 23.575395
439   1 0.0000   9.044682 12.183748 33.378527
440   1 0.0000   9.044769 12.183596 43.181659
441   1 0.0000   6.029638 17.405986  3.969131
442   1 0.0000   6.029725 17.405834 13.772263
443   1 0.0000   6.029812 17.405682 23.575395
444   1 0.0000   6.029899 17.405530 33.378527
445   1 0.0000   6.029987 17.405378 43.181659
446   1 0.0000   3.014855 22.627768  3.969131
447   1 0.0000   3.014942 22.627616 13.772263
448   1 0.0000   3.015030 22.627464 23.575395
449   1 0.0000   3.015117 22.627312 33.378527
450   1 0.0000   3.015204 22.627160 43.181659
451   1 0.0000  21.103564  1.740640  3.969131
452   1 0.0000  21.103651  1.740488 13.772263
453   1 0.0000  21.103739  1.740336 23.575395
454   1 0.0000  21.103826  1.740184 33.378527
455   1 0.0000  21.103913  1.740032 43.181659
456   1 0.0000  18.088782  6.962422  3.969131
457   1 0.0000  18.088869  6.962270 13.772263
458   1 0.0000  18.088956  6.962118 23.575395
459   1 0.0000  18.089043  6.961966 33.378527
460   1 0.0000  18.089131  6.961814 43.181659
461   1 0.0000  15.073999 12.184204  3.969131
462   1 0.0000  15.074086 12.184052 13.772263
463   1 0.0000  15.074174 12.183900 23.575395
464   1 0.0000  15.074261 12.183748 33.378527
465   1 0.0000  15.074348 12.183596 43.181659
466   1 0.0000  12.059217 17.405986  3.969131
467   1 0.0000  12.059304 17.405834 13.772263
468   1 0.0000  12.059391 17.405682 23.575395
469   1 0.0000  12.059478 17.405530 33.378527
470   1 0.0000  12.059566 17.405378 43.181659
471   1 0.0000   9.044434 22.627768  3.969131
472   1 0.0000   9.044521 22.627616 13.772263
473   1 0.0000   9.044609 22.627464 23.575395
474   1 0.0000   9.044696 22.627312 33.378527
475   1 0.0000   9.044783 22.627160 43.181659
476   1 0.0000  27.133143  1.740640  3.969131
477   1 0.0000  27.133230  1.740488 13.772263
478   1 0.0000  27.133318  1.740336 23.575395
479   1 0.0000  27.133405  1.740184 33.378527
480   1 0.0000  27.133492  1.740032 43.181659
481   1 0.0000  24.118361  6.962422  3.969131
482   1 0.0000  24.118448  6.962270 13.772263
483   1 0.0000  24.118535  6.962118 23.575395
484   1 0.0000  24.118622  6.961966 33.378527
485   1 0.0000  24.118710  6.961814 43.181659
486   1 0.0000  21.103578 12.184204  3.969131
487   1 0.0000  21.103665 12.184052 13.772263
488   1 0.0000  21.103753 12.183900 23.575395
489   1 0.0000  21.103840 12.183748 33.378527
490   1 0.0000  21.103927 12.183596 43.181659
491   1 0.0000  18.088796 17.405986  3.969131
492   1 0.0000  18.088883 17.405834 13.772263
493   1 0.0000  18.088970 17.405682 23.575395
494   1 0.0000  18.089057 17.405530 33.378527
495   1 0.0000  18.089145 17.405378 43.181659
496   1 0.0000  15.074013 22.627768  3.969131
497   1 0.0000  15.074100 22.627616 13.772263
498   1 0.0000  15.074188 22.627464 23.575395
499   1 0.0000  15.074275 22.627312 33.378527
500   1 0.0000  15.074362 22.627160 43.181659
501   2 0.0000  -1.509481  4.290601  2.090861
502   2 0.0000  -1.509393  4.290449 11.893993
503   2 0.0000  -1.509306  4.290297 21.697125
504   2 0.0000  -1.509219  4.290145 31.500257
505   2 0.0000  -1.509132  4.289993 41.303389
506   2 0.0000  -4.524263  9.512383  2.090861
507   2 0.0000  -4.524176  9.512231 11.893993
508   2 0.0000  -4.524089  9.512079 21.697125
509   2 0.0000  -4.524001  9.511927 31.500257
510   2 0.0000  -4.523914  9.511775 41.303389
511   2 0.0000  -7.539046 14.734165  2.090861
512   2 0.0000  -7.538959 14.734013 11.893993
513   2 0.0000  -7.538871 14.733861 21.697125
514   2 0.0000  -7.538784 14.733709 31.500257
515   2 0.0000  -7.538697 14.733557 41.303389
516   2 0.0000 -10.553828 19.955947  2.090861
517   2 0.0000 -10.553741 19.955795 11.893993
518   2 0.0000 -10.553654 19.955643 21.697125
519   2 0.0000 -10.553567 19.955491 31.500257
520   2 0.0000 -10.553479 19.955339 41.303389
521   2 0.0000 -13.568611 25.177729  2.090861
522   2 0.0000 -13.568524 25.177577 11.893993
523   2 0.0000 -13.568436 25.177425 21.697125
524   2 0.0000 -13.568349 25.177273 31.500257
525   2 0.0000 -13.568262 25.177121 41.303389
526   2 0.0000   4.520098  4.290601  2.090861
527   2 0.0000   4.520186  4.290449 11.893993
528   2 0.0000   4.520273  4.290297 21.697125
529   2 0.0000   4.520360  4.290145 31.500257
530   2 0.0000   4.520447  4.289993 41.303389
531   2 0.0000   1.505316  9.512383  2.090861
532   2 0.0000   1.505403  9.512231 11.893993
533   2 0.0000   1.505490  9.512079 21.697125
534   2 0.0000   1.505578  9.511927 31.500257
535   2 0.0000   1.505665  9.511775 41.303389
536   2 0.0000  -1.509467 14.734165  2.090861
537   2 0.0000  -1.509380 14.734013 11.893993
538   2 0.0000  -1.509292 14.733861 21.697125
539   2 0.0000  -1.509205 14.733709 31.500257
540   2 0.0000  -1.509118 14.733557 41.303389
541   2 0.0000  -4.524249 19.955947  2.090861
542   2 0.0000  -4.524162 19.955795 11.893993
543   2 0.0000  -4.524075 19.955643 21.697125
544   2 0.0000  -4.523988 19.955491 31.500257
545   2 0.0000  -4.523900 19.955339 41.303389
546   2 0.0000  -7.539032 25.177729  2.090861
547   2 0.0000  -7.538945 25.177577 11.893993
548   2 0.0000  -7.538857 25.177425 21.697125
549   2 0.0000  -7.538770 25.177273 31.500257
