Generated by pymatgen.io.lammps.data.LammpsData

3000  atoms

   4  atom types

0.000000 26.839531  xlo xhi
0.000000 30.911487  ylo yhi
0.000000 37.891080  zlo zhi
0.033593 -13.348165 -7.706166  xy xz yz

Masses

1   6.9410
2  51.9961
3  55.8450
4  15.9994

Atoms

185   2  1.5750  16.788257 -0.575844 11.831565
186   4 -1.0500  18.498522  0.268310  1.947411
187   4 -1.0500  16.949781  4.348895 11.145325
188   4 -1.0500  11.722968  0.171981 11.243629
189   3  1.5750  13.067236  5.607234  7.629922
190   4 -1.0500  13.018316 -1.465631 12.279840
191   1  0.5250  18.828821  5.197271  0.153345
192   4 -1.0500  13.235021  6.123225  5.174045
193   2  1.5750  11.372394  2.528827 12.337133
194   4 -1.0500  13.544780  6.035910  9.852552
195   4 -1.0500  18.855859 -0.930262 10.740011
196   4 -1.0500  18.632003  3.587049 12.256844
197   4 -1.0500  15.904164  6.071537  3.544205
198   4 -1.0500  16.610620  6.333965  7.284342
199   4 -1.0500  13.009022  6.165769  0.552008
200   4 -1.0500  13.376334  6.303447 12.201892
201   2  1.5750  18.911151  3.455860  3.648800
202   2  1.5750  18.091759  6.335495 11.351675
203   4 -1.0500  11.167901  5.703550 12.502061
204   1  0.5250  18.717828  5.513201  6.330519
205   1  0.5250  18.755940  1.472725 10.949156
206   2  1.5750  13.369913  6.232447  2.899877
207   4 -1.0500  11.302106  6.134849  3.749469
208   4 -1.0500  15.778183  6.239297 12.400549
209   4 -1.0500  15.755243  6.450993 10.201604
210   4 -1.0500   3.906337 14.211620  4.954430
211   2  1.5750  19.143664 -0.526483  4.058294
212   4 -1.0500  23.832485  4.889939  8.507944
213   4 -1.0500  22.585224 -1.313646 11.009783
214   4 -1.0500  24.876569  2.234866  5.047557
215   4 -1.0500  24.890896 -0.708019  4.723642
216   2  1.5750  24.283124  4.374797  6.200773
217   2  1.5750  23.790399  0.589350  6.351248
218   2  1.5750  25.719713  1.916780  1.045297
219   3  1.5750  23.823061  4.225416  3.903175
220   3  1.5750  20.779123  2.744245 11.301884
221   3  1.5750  21.425831  4.117227  8.545093
222   2  1.5750  20.090948  2.130523  9.197302
223   1  0.5250  21.807432  2.662707  3.216795
224   1  0.5250  23.234827  0.816856  3.744421
225   1  0.5250  22.194304  2.998497  0.870246
226   1  0.5250  19.293220  3.804415  7.692719
227   1  0.5250  22.857068  0.866961  1.376612
228   1  0.5250  21.142346  0.354527 10.200329
229   1  0.5250  21.756473  0.144518  5.452824
230   1  0.5250  20.218013  1.583202  4.425987
231   2  1.5750  22.917140 -1.499967  8.472042
232   3  1.5750  20.253920  4.224638  1.980535
233   3  1.5750  23.241257  2.657968  7.490073
234   4 -1.0500  22.021696  4.785404  6.563674
235   4 -1.0500  22.566684  2.777474  5.327387
236   4 -1.0500  20.219787  3.983672  5.528926
237   4 -1.0500  21.193282 -0.035492  2.883112
238   4 -1.0500  24.022602  2.632175  2.306276
239   4 -1.0500  22.312501  2.401731  9.598952
240   4 -1.0500  20.789628  2.150632  6.856312
241   4 -1.0500  20.220738  1.724817  1.865618
242   4 -1.0500  19.477167 -0.228870  8.724570
243   4 -1.0500  21.960785  0.471927  7.951716
244   4 -1.0500  19.730740  0.179582  6.301124
245   4 -1.0500  19.512622  4.396642 10.216545
246   4 -1.0500  21.480828  4.893966  3.892799
247   4 -1.0500  25.029943  4.690006  1.901406
248   1  0.5250  21.859652  4.733523 10.772096
249   1  0.5250  20.600571 -2.137009 11.903184
250   4 -1.0500  22.593681  5.143272  1.987935
251   2  1.5750   6.856244 13.722366  8.319437
252   4 -1.0500  19.413598  5.857909  3.989993
253   1  0.5250  19.964814  6.033595  8.096325
254   3  1.5750  20.444801  0.298798 12.299387
255   1  0.5250  20.217112  5.448621 12.358630
