Generated by pymatgen.io.lammps.data.LammpsData

3000  atoms

   4  atom types

0.000000 25.838570  xlo xhi
0.000000 29.758665  ylo yhi
0.000000 36.477960  zlo zhi
0.032340 -12.850355 -7.418770  xy xz yz

Masses

1   6.9410
2  51.9961
3  55.8450
4  15.9994

Atoms

192   1  0.5250   9.094987 17.125811 10.951369
193   1  0.5250   6.524916 15.642057 18.246961
194   1  0.5250   3.954845 14.158303 25.542553
195   1  0.5250   1.384774 12.674549 32.838145
196   1  0.5250  11.671526 24.561298  3.655777
197   1  0.5250   9.101455 23.077544 10.951369
198   1  0.5250   6.531384 21.593790 18.246961
199   1  0.5250   3.961313 20.110036 25.542553
200   1  0.5250   1.391242 18.626282 32.838145
201   1  0.5250  16.813368  0.754366  3.655777
202   1  0.5250  14.243297 -0.729388 10.951369
203   1  0.5250  11.673226 -2.213142 18.246961
204   1  0.5250   9.103155 -3.696896 25.542553
205   1  0.5250   6.533084 -5.180650 32.838145
206   1  0.5250  16.819836  6.706099  3.655777
207   1  0.5250  14.249765  5.222345 10.951369
208   1  0.5250  11.679694  3.738591 18.246961
209   1  0.5250   9.109623  2.254837 25.542553
210   1  0.5250   6.539552  0.771083 32.838145
211   1  0.5250  16.826304 12.657832  3.655777
212   1  0.5250  14.256233 11.174078 10.951369
213   1  0.5250  11.686162  9.690324 18.246961
214   1  0.5250   9.116091  8.206570 25.542553
215   1  0.5250   6.546020  6.722816 32.838145
216   1  0.5250  16.832772 18.609565  3.655777
217   1  0.5250  14.262701 17.125811 10.951369
218   1  0.5250  11.692630 15.642057 18.246961
219   1  0.5250   9.122559 14.158303 25.542553
220   1  0.5250   6.552488 12.674549 32.838145
221   1  0.5250  16.839240 24.561298  3.655777
222   1  0.5250  14.269169 23.077544 10.951369
223   1  0.5250  11.699098 21.593790 18.246961
224   1  0.5250   9.129027 20.110036 25.542553
225   1  0.5250   6.558956 18.626282 32.838145
226   1  0.5250  21.981082  0.754366  3.655777
227   1  0.5250  19.411011 -0.729388 10.951369
228   1  0.5250  16.840940 -2.213142 18.246961
229   1  0.5250  14.270869 -3.696896 25.542553
230   1  0.5250  11.700798 -5.180650 32.838145
231   1  0.5250  21.987550  6.706099  3.655777
232   1  0.5250  19.417479  5.222345 10.951369
233   1  0.5250  16.847408  3.738591 18.246961
234   1  0.5250  14.277337  2.254837 25.542553
235   1  0.5250  11.707266  0.771083 32.838145
236   1  0.5250  21.994018 12.657832  3.655777
237   1  0.5250  19.423947 11.174078 10.951369
238   1  0.5250  16.853876  9.690324 18.246961
239   1  0.5250  14.283805  8.206570 25.542553
240   1  0.5250  11.713734  6.722816 32.838145
241   1  0.5250  22.000486 18.609565  3.655777
242   1  0.5250  19.430415 17.125811 10.951369
243   1  0.5250  16.860344 15.642057 18.246961
244   1  0.5250  14.290273 14.158303 25.542553
245   1  0.5250  11.720202 12.674549 32.838145
246   1  0.5250  22.006954 24.561298  3.655777
247   1  0.5250  19.436883 23.077544 10.951369
248   1  0.5250  16.866812 21.593790 18.246961
249   1  0.5250  14.296741 20.110036 25.542553
250   1  0.5250  11.726670 18.626282 32.838145
251   1  0.5250   2.157676  5.200189  1.211761
252   1  0.5250  -0.412395  3.716435  8.507353
253   1  0.5250  -2.982466  2.232681 15.802945
254   1  0.5250  -5.552537  0.748927 23.098537
255   1  0.5250  -8.122608 -0.734827 30.394129
256   1  0.5250   2.164144 11.151922  1.211761
257   1  0.5250  -0.405927  9.668168  8.507353
258   1  0.5250  -2.975998  8.184414 15.802945
259   1  0.5250  -5.546069  6.700660 23.098537
260   1  0.5250  -8.116140  5.216906 30.394129
261   1  0.5250   2.170612 17.103655  1.211761
262   1  0.5250  -0.399459 15.619901  8.507353
263   1  0.5250  -2.969530 14.136147 15.802945
264   1  0.5250  -5.539601 12.652393 23.098537
265   1  0.5250  -8.109672 11.168639 30.394129
